Color,H,S,V
green,122,97,78
green,120,99,68
green,124,90,73
green,120,99,78
green,120,99,73
green,120,99,68
green,120,99,80
green,120,99,75
green,120,99,71
yellow,69,96,72
yellow,68,99,62
yellow,69,90,64
yellow,66,99,72
yellow,66,99,67
yellow,67,99,62
yellow,69,99,75
yellow,68,99,69
yellow,69,99,65
blue,214,93,47
blue,217,97,38
blue,213,82,45
blue,216,99,44
blue,220,99,40
blue,221,99,38
blue,215,99,47
blue,219,99,41
blue,220,99,41
white,152,13,67
white,133,11,57
white,137,12,61
white,146,10,67
white,132,9,62
white,140,11,58
white,165,13,70
white,162,13,64
white,161,15,61
orange,358,77,93
orange,359,87,89
orange,357,78,91
orange,3,84,93
orange,3,90,93
orange,2,93,92
orange,359,80,93
orange,2,89,93
orange,359,91,93
red,349,83,66
red,352,92,58
red,349,73,59
red,353,91,65
red,354,97,61
red,354,98,56
red,351,88,67
red,353,97,62
red,353,97,57
